RIESGO_SEGURO,PERDIDAS_NORMALIZADAS,MARCA,ASPIRACION,NUMERO_PUERTAS,ESTILO_CARROCERIA,TRACCION,UBICACION_MOTOR,DISTANCIA_EJES,LARGO,ANCHO,ALTO,PESO_VACIO,TIPO_MOTOR,NUMERO_CILINDROS,TAMANO_MOTOR,SISTEMA_COMBUSTIBLE,DIAMETRO_CILINDRO,CARRERA_PISTON,RELACION_COMPRESION,CABALLOS_FUERZA,RPM_MAXIMAS,CONSUMO_CIUDAD_MPG,CONSUMO_AUTOPISTA_MPG,PRECIO,CONS_CIUDAD_L100,CONS_AUTOPISTA_L100,CATEGORIA_PRECIO,TIPO_COMBUSTIBLE_GAS,TIPO_COMBUSTIBLE_DIESEL
3,122.0,alfa-romero,std,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,0.8160535117056856,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,11.19047619047619,8.703703703703704,bajo,0,1
1,122.0,alfa-romero,std,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,0.8762541806020067,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12.36842105263158,9.038461538461538,bajo,0,1
2,164.0,audi,std,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683264,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,9.791666666666666,7.833333333333333,bajo,0,1
2,164.0,audi,std,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,13.055555555555555,10.681818181818182,bajo,0,1
2,122.0,audi,std,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,0.8879598662207359,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,12.36842105263158,9.4,bajo,0,1
1,158.0,audi,std,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,12.36842105263158,9.4,bajo,0,1
1,122.0,audi,std,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.931438127090301,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,12.36842105263158,9.4,medio,0,1
1,158.0,audi,turbo,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,13.823529411764708,11.75,medio,0,1
0,122.0,audi,turbo,two,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,0.8695652173913044,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160.0,5500.0,16,22,13205.69,14.6875,10.681818181818182,bajo,0,1
2,192.0,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,10.217391304347826,8.10344827586207,bajo,0,1
0,192.0,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,10.217391304347826,8.10344827586207,bajo,0,1
0,188.0,bmw,std,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,11.19047619047619,8.392857142857142,medio,0,1
0,188.0,bmw,std,four,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,11.19047619047619,8.392857142857142,medio,0,1
1,122.0,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,11.75,9.4,medio,0,1
0,122.0,bmw,std,four,sedan,rwd,front,103.5,0.9082172032676598,0.9253112033195022,0.931438127090301,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,14.6875,10.681818181818182,medio,0,1
0,122.0,bmw,std,two,sedan,rwd,front,103.5,0.9312830370014415,0.9391424619640388,0.8979933110367894,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,14.6875,10.681818181818182,alto,0,1
0,122.0,bmw,std,four,sedan,rwd,front,110.0,0.9466602594906296,0.9806362378976488,0.9414715719063546,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,15.666666666666666,11.75,alto,0,1
2,121.0,chevrolet,std,two,hatchback,fwd,front,88.4,0.6780394041326285,0.8340248962655602,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,5.0,4.433962264150943,bajo,0,1
1,98.0,chevrolet,std,two,hatchback,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,6.184210526315789,5.465116279069767,bajo,0,1
0,81.0,chevrolet,std,four,sedan,fwd,front,94.5,0.7630946660259491,0.8796680497925312,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,6.184210526315789,5.465116279069767,bajo,0,1
1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,6.351351351351352,5.7317073170731705,bajo,0,1
1,118.0,dodge,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,7.580645161290323,6.184210526315789,bajo,0,1
1,118.0,dodge,turbo,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8494983277591973,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,9.791666666666666,7.833333333333333,bajo,0,1
1,148.0,dodge,std,four,hatchback,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,7.580645161290323,6.184210526315789,bajo,0,1
1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,7.580645161290323,6.184210526315789,bajo,0,1
1,148.0,dodge,std,four,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,7.580645161290323,6.184210526315789,bajo,0,1
1,148.0,dodge,turbo,,sedan,fwd,front,93.7,0.7558865929841423,0.8824343015214384,0.8461538461538463,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,9.791666666666666,7.833333333333333,bajo,0,1
-1,110.0,dodge,std,four,wagon,fwd,front,103.3,0.8390197020663143,0.8934993084370677,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,9.791666666666666,7.833333333333333,bajo,0,1
3,145.0,dodge,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,12.36842105263158,9.791666666666666,bajo,0,1
2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,4.795918367346939,4.351851851851852,bajo,0,1
2,137.0,honda,std,two,hatchback,fwd,front,86.6,0.6948582412301778,0.8838174273858921,0.8494983277591973,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,7.580645161290323,6.184210526315789,bajo,0,1
1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,6.184210526315789,5.595238095238095,bajo,0,1
1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,7.833333333333333,6.911764705882353,bajo,0,1
1,101.0,honda,std,two,hatchback,fwd,front,93.7,0.7208073041806824,0.8852005532503459,0.8795986622073579,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,7.833333333333333,6.911764705882353,bajo,0,1
0,110.0,honda,std,four,sedan,fwd,front,96.5,0.7851994233541567,0.8852005532503459,0.911371237458194,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,bajo,0,1
0,78.0,honda,std,four,wagon,fwd,front,96.5,0.754925516578568,0.8838174273858921,0.9749163879598662,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,7.833333333333333,6.911764705882353,bajo,0,1
0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.90179806362379,0.8913043478260869,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,8.703703703703704,7.121212121212121,bajo,0,1
0,106.0,honda,std,two,hatchback,fwd,front,96.5,0.8049014896684287,0.90179806362379,0.8913043478260869,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,8.703703703703704,7.121212121212121,bajo,0,1
0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.90179806362379,0.9046822742474916,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,8.703703703703704,7.121212121212121,bajo,0,1
0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.8644536652835408,0.9046822742474916,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,8.703703703703704,7.121212121212121,bajo,0,1
0,85.0,honda,std,four,sedan,fwd,front,96.5,0.8428640076886112,0.90179806362379,0.9046822742474916,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,9.791666666666666,8.392857142857142,bajo,0,1
1,107.0,honda,std,two,sedan,fwd,front,96.5,0.8125901009130225,0.9128630705394192,0.8528428093645485,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,9.4,7.580645161290323,bajo,0,1
0,122.0,isuzu,std,four,sedan,rwd,front,94.3,0.8202787121576165,0.8547717842323651,0.8946488294314382,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,9.791666666666666,8.10344827586207,bajo,0,1
1,122.0,isuzu,std,two,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,13205.69,6.184210526315789,5.465116279069767,bajo,0,1
0,122.0,isuzu,std,four,sedan,fwd,front,94.5,0.7491590581451226,0.8796680497925312,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,13205.69,6.184210526315789,5.465116279069767,bajo,0,1
2,122.0,isuzu,std,two,hatchback,rwd,front,96.0,0.8294089380105718,0.90179806362379,0.8595317725752508,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,9.791666666666666,8.10344827586207,bajo,0,1
0,145.0,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,15.666666666666666,12.36842105263158,alto,0,1
0,122.0,jaguar,std,four,sedan,rwd,front,113.0,0.9591542527630946,0.962655601659751,0.882943143812709,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,15.666666666666666,12.36842105263158,alto,0,1
0,122.0,jaguar,std,two,sedan,rwd,front,102.0,0.921191734742912,0.9764868603042876,0.7993311036789298,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,18.07692307692308,13.823529411764708,alto,0,1
1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,7.833333333333333,7.580645161290323,bajo,0,1
1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,7.580645161290323,6.184210526315789,bajo,0,1
1,104.0,mazda,std,two,hatchback,fwd,front,93.1,0.7645362806343105,0.8879668049792532,0.9046822742474916,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,7.580645161290323,6.184210526315789,bajo,0,1
1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,7.580645161290323,6.184210526315789,bajo,0,1
1,113.0,mazda,std,four,sedan,fwd,front,93.1,0.8015377222489188,0.8879668049792532,0.9046822742474916,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,7.580645161290323,6.184210526315789,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,10945.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2380,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,11845.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2385,rotor,two,70,4bbl,3.32905,3.2582999999999998,9.4,101.0,6000.0,17,23,13645.0,13.823529411764708,10.217391304347826,bajo,0,1
3,150.0,mazda,std,two,hatchback,rwd,front,95.3,0.8121095627102355,0.9087136929460582,0.8294314381270904,2500,rotor,two,80,mpfi,3.32905,3.2582999999999998,9.4,135.0,6000.0,16,23,15645.0,14.6875,10.217391304347826,bajo,0,1
1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,9.038461538461538,7.34375,bajo,0,1
0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,9.038461538461538,7.34375,bajo,0,1
1,129.0,mazda,std,two,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.8979933110367894,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,9.038461538461538,7.34375,bajo,0,1
0,115.0,mazda,std,four,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,9.038461538461538,7.34375,bajo,0,1
0,122.0,mazda,std,,sedan,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,6.527777777777778,5.595238095238095,bajo,1,0
0,115.0,mazda,std,four,hatchback,fwd,front,98.8,0.8543969245555022,0.9197786998616876,0.92809364548495,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,9.038461538461538,7.34375,bajo,0,1
0,118.0,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,12.36842105263158,8.703703703703704,bajo,0,1
0,122.0,mazda,std,four,sedan,rwd,front,104.9,0.8409418548774628,0.9142461964038728,0.9096989966555185,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,7.580645161290323,6.0256410256410255,bajo,1,0
-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9448160535117056,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,10.681818181818182,9.4,medio,1,0
-1,93.0,mercedes-benz,turbo,four,wagon,rwd,front,110.0,0.9173474291206152,0.9723374827109268,0.9816053511705688,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,10.681818181818182,9.4,medio,1,0
0,93.0,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.9010091302258528,0.9723374827109268,0.9180602006688964,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,10.681818181818182,9.4,medio,1,0
-1,93.0,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9414715719063546,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,10.681818181818182,9.4,medio,1,0
-1,122.0,mercedes-benz,std,four,sedan,rwd,front,115.6,0.9735703988467084,0.991701244813278,0.9448160535117056,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,14.6875,13.055555555555555,alto,0,1
3,142.0,mercedes-benz,std,two,convertible,rwd,front,96.6,0.8664103796251803,0.975103734439834,0.8494983277591973,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,14.6875,13.055555555555555,alto,0,1
0,122.0,mercedes-benz,std,four,sedan,rwd,front,120.9,1.0,0.991701244813278,0.948160535117057,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,16.785714285714285,14.6875,alto,0,1
1,122.0,mercedes-benz,std,two,hardtop,rwd,front,112.0,0.957232099951946,0.995850622406639,0.9264214046822744,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,16.785714285714285,14.6875,alto,0,1
1,122.0,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280153772225,0.9405255878284924,0.9163879598662208,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,12.36842105263158,9.791666666666666,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,6.351351351351352,5.7317073170731705,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,7.580645161290323,6.184210526315789,bajo,0,1
2,161.0,mitsubishi,std,two,hatchback,fwd,front,93.7,0.7558865929841423,0.8907330567081606,0.8494983277591973,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,7.580645161290323,6.184210526315789,bajo,0,1
1,161.0,mitsubishi,turbo,two,hatchback,fwd,front,93.0,0.7558865929841423,0.8824343015214384,0.8494983277591973,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,9.791666666666666,7.833333333333333,bajo,0,1
3,153.0,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,10.217391304347826,7.833333333333333,bajo,0,1
3,153.0,mitsubishi,std,two,hatchback,fwd,front,96.3,0.8313310908217203,0.9045643153526972,0.8260869565217391,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,9.4,7.34375,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,12.36842105263158,9.791666666666666,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,12.36842105263158,9.791666666666666,bajo,0,1
3,122.0,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.8322921672272945,0.91701244813278,0.8394648829431439,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,12.36842105263158,9.791666666666666,bajo,0,1
1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,9.4,7.34375,bajo,0,1
1,125.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,9.4,7.34375,bajo,0,1
1,125.0,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,bajo,0,1
-1,137.0,mitsubishi,std,four,sedan,fwd,front,96.3,0.8284478616049976,0.9045643153526972,0.8628762541806021,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,10.217391304347826,7.833333333333333,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,5.222222222222222,4.7,bajo,1,0
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,7.580645161290323,6.351351351351352,bajo,0,1
1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,7.580645161290323,6.351351351351352,bajo,0,1
1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,7.580645161290323,6.351351351351352,bajo,0,1
1,128.0,nissan,std,two,hatchback,fwd,front,94.5,0.7957712638154734,0.8824343015214384,0.8913043478260869,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,7.580645161290323,6.351351351351352,bajo,0,1
1,122.0,nissan,std,four,sedan,fwd,front,94.5,0.794329649207112,0.8824343015214384,0.911371237458194,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,7.580645161290323,6.351351351351352,bajo,0,1
1,103.0,nissan,std,four,wagon,fwd,front,94.5,0.8178760211436809,0.8824343015214384,0.8946488294314382,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,7.580645161290323,6.351351351351352,bajo,0,1
2,168.0,nissan,std,two,hardtop,fwd,front,95.1,0.7803940413262855,0.8824343015214384,0.8913043478260869,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,7.580645161290323,6.351351351351352,bajo,0,1
0,106.0,nissan,std,four,hatchback,fwd,front,97.2,0.8332532436328689,0.90179806362379,0.9147157190635452,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,8.703703703703704,6.911764705882353,bajo,0,1
0,106.0,nissan,std,four,sedan,fwd,front,97.2,0.8332532436328689,0.90179806362379,0.9147157190635452,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,8.703703703703704,6.911764705882353,bajo,0,1
